,User,Date,Tweet,Tweets Ago,Positive,Negative,Neutral,Compound
0,BBCWorld,Mon Apr 23 22:51:05 +0000 2018,Madonna loses bid to stop sale of Tupac break up letter https://t.co/u43jTtH63d,1,0.0,0.69,0.31,-0.5423
1,BBCWorld,Mon Apr 23 21:29:40 +0000 2018,Is Bollywood ready for #MeToo? https://t.co/peBJHCUCz1,2,0.333,0.667,0.0,0.3612
2,BBCWorld,Mon Apr 23 20:54:02 +0000 2018,"RT @BBCBreaking: Nine people dead and 16 injured after van strikes pedestrians in Toronto, police in Canada say

https://t.co/NZbRtG7T9U",3,0.0,0.627,0.373,-0.8591
3,BBCWorld,Mon Apr 23 20:21:49 +0000 2018,China sexist adverts: Tech firms apologise after damning report https://t.co/fqeqo8c6u1,4,0.2,0.615,0.185,0.0516
4,BBCWorld,Mon Apr 23 19:53:47 +0000 2018,Daniel Barenboim returns German music award in anti-Semitism row https://t.co/Z4kkEnoLKR,5,0.28,0.72,0.0,0.5423
5,BBCWorld,Mon Apr 23 19:32:12 +0000 2018,US soldier gets world's first penis and scrotum transplant https://t.co/1IjabEClHp,6,0.0,1.0,0.0,0.0
6,BBCWorld,Mon Apr 23 19:32:12 +0000 2018,Yemen war: Houthi political leader Saleh al-Sammad 'killed in air raid' https://t.co/oziOdhCqQx,7,0.0,0.543,0.457,-0.8555
7,BBCWorld,Mon Apr 23 19:12:48 +0000 2018,"RT @BBCBreaking: @BBCWorld ""People were shouting stop the car"" - Eyewitness describes seeing the van hitting pedestrians 
https://t.co/26Yb…",8,0.0,0.879,0.121,-0.296
8,BBCWorld,Mon Apr 23 18:27:54 +0000 2018,"@BBCBreaking Toronto Police say driver of van is in custody but gave no personal details or possible motive 
https://t.co/JNIIyMO2si",9,0.0,0.865,0.135,-0.4215
9,BBCWorld,Mon Apr 23 18:17:19 +0000 2018,Waffle House gunman in custody https://t.co/X35cKnYSZA,10,0.0,1.0,0.0,0.0
10,BBCWorld,Mon Apr 23 18:13:33 +0000 2018,"RT @BBCBreaking: Naked gunman who killed four people at a Waffle House in Tennessee is in custody after a manhunt, police say https://t.co/…",11,0.0,0.816,0.184,-0.6705
11,BBCWorld,Mon Apr 23 18:11:15 +0000 2018,RT @BBCNews: US soldier gets world's first penis and scrotum transplant https://t.co/u8wucxfKAZ,12,0.0,1.0,0.0,0.0
12,BBCWorld,Mon Apr 23 18:01:34 +0000 2018,Multiple pedestrians hit by van in Toronto https://t.co/GCLz8DrX8I,13,0.0,1.0,0.0,0.0
13,BBCWorld,Mon Apr 23 17:39:20 +0000 2018,"RT @BBCNews: The Duke and Duchess of Cambridge introduce their new son to the world, just hours after he was born 

https://t.co/jU2MrpY3CQ…",14,0.0,1.0,0.0,0.0
14,BBCWorld,Mon Apr 23 17:14:56 +0000 2018,Travis Reinking: How did Waffle House suspect get guns after ban? https://t.co/dGdFe0Aaka,15,0.0,0.633,0.367,-0.7003
15,BBCWorld,Mon Apr 23 16:58:44 +0000 2018,RT @BBCBreaking: The Duke and Duchess of Cambridge show off new son outside London hospital https://t.co/lGZ2YAK7um #royalbaby https://t.co…,16,0.0,1.0,0.0,0.0
16,BBCWorld,Mon Apr 23 16:33:38 +0000 2018,"RT @BBCSport: Mohamed Salah is the first Egyptian footballer to win the PFA Player of the Year award.

It’s gone down very well in Egypt!…",17,0.312,0.688,0.0,0.8746
17,BBCWorld,Mon Apr 23 15:49:18 +0000 2018,Stolen heart of French queen consort Anne of Brittany found https://t.co/JC48MCWMvn,18,0.0,0.758,0.242,-0.4939
18,BBCWorld,Mon Apr 23 15:49:18 +0000 2018,Spain exhumes bodies from Valley of the Fallen civil war monument https://t.co/9PDProeOHG,19,0.0,0.61,0.39,-0.7506
19,BBCWorld,Mon Apr 23 15:27:16 +0000 2018,Harry Potter show opens on New York's Broadway https://t.co/vGDYr02PfM,20,0.0,1.0,0.0,0.0
20,BBCWorld,Mon Apr 23 22:51:05 +0000 2018,Madonna loses bid to stop sale of Tupac break up letter https://t.co/u43jTtH63d,21,0.0,0.69,0.31,-0.5423
21,BBCWorld,Mon Apr 23 21:29:40 +0000 2018,Is Bollywood ready for #MeToo? https://t.co/peBJHCUCz1,22,0.333,0.667,0.0,0.3612
22,BBCWorld,Mon Apr 23 20:54:02 +0000 2018,"RT @BBCBreaking: Nine people dead and 16 injured after van strikes pedestrians in Toronto, police in Canada say

https://t.co/NZbRtG7T9U",23,0.0,0.627,0.373,-0.8591
23,BBCWorld,Mon Apr 23 20:21:49 +0000 2018,China sexist adverts: Tech firms apologise after damning report https://t.co/fqeqo8c6u1,24,0.2,0.615,0.185,0.0516
24,BBCWorld,Mon Apr 23 19:53:47 +0000 2018,Daniel Barenboim returns German music award in anti-Semitism row https://t.co/Z4kkEnoLKR,25,0.28,0.72,0.0,0.5423
25,BBCWorld,Mon Apr 23 19:32:12 +0000 2018,US soldier gets world's first penis and scrotum transplant https://t.co/1IjabEClHp,26,0.0,1.0,0.0,0.0
26,BBCWorld,Mon Apr 23 19:32:12 +0000 2018,Yemen war: Houthi political leader Saleh al-Sammad 'killed in air raid' https://t.co/oziOdhCqQx,27,0.0,0.543,0.457,-0.8555
27,BBCWorld,Mon Apr 23 19:12:48 +0000 2018,"RT @BBCBreaking: @BBCWorld ""People were shouting stop the car"" - Eyewitness describes seeing the van hitting pedestrians 
https://t.co/26Yb…",28,0.0,0.879,0.121,-0.296
28,BBCWorld,Mon Apr 23 18:27:54 +0000 2018,"@BBCBreaking Toronto Police say driver of van is in custody but gave no personal details or possible motive 
https://t.co/JNIIyMO2si",29,0.0,0.865,0.135,-0.4215
