,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Severo-Yeniseyskiy,80.0,RU,1524620171,70.0,60.37,93.04,35.94,6.64
1,Huarmey,88.0,PE,1524620171,71.0,-10.07,-78.15,67.44,2.73
2,Aquiraz,0.0,BR,1524618000,83.0,-3.9,-38.39,78.8,3.36
3,Saint-Ambroise,75.0,CA,1524618000,26.0,48.56,-71.32,57.2,2.24
4,Makamba,8.0,BI,1524620171,91.0,-4.13,29.8,55.29,2.77
5,Roald,92.0,NO,1524619200,80.0,62.58,6.12,41.0,18.34
6,Busselton,32.0,AU,1524620171,100.0,-33.64,115.35,65.1,6.24
7,Progreso,32.0,MX,1524620172,85.0,20.25,-99.19,60.33,1.1
8,Komsomolskiy,36.0,RU,1524620172,78.0,67.55,63.78,10.56,8.77
9,Okha,32.0,RU,1524620172,81.0,53.59,142.95,48.0,17.09
10,Bambous Virieux,40.0,MU,1524618000,88.0,-20.34,57.76,75.2,3.36
11,Atuona,32.0,PF,1524620172,100.0,-9.8,-139.03,81.3,13.18
12,Namikupa,0.0,TZ,1524620172,91.0,-10.83,39.6,64.65,4.23
13,Pevek,0.0,RU,1524620173,83.0,69.7,170.27,24.51,8.03
14,Tual,56.0,ID,1524620173,99.0,-5.67,132.75,84.81,10.94
15,Kapaa,90.0,US,1524617760,74.0,22.08,-159.32,80.6,17.22
16,Ribeira Grande,100.0,PT,1524619877,100.0,38.52,-28.7,62.31,8.43
17,Hermanus,36.0,ZA,1524620173,93.0,-34.42,19.24,43.59,3.11
18,Thompson,90.0,CA,1524618000,52.0,55.74,-97.86,41.0,9.17
19,Flinders,0.0,AU,1524614400,52.0,-34.58,150.85,68.0,5.82
20,Bredasdorp,48.0,ZA,1524618000,87.0,-34.53,20.04,51.8,4.7
21,Bluff,68.0,NZ,1524620174,86.0,-46.6,168.33,57.63,14.92
22,Dingle,92.0,IE,1524620174,98.0,52.14,-10.27,48.54,21.34
23,Ushuaia,40.0,AR,1524618000,70.0,-54.81,-68.31,46.4,9.17
24,Namatanai,44.0,PG,1524620174,99.0,-3.66,152.44,84.63,7.02
25,Locri,0.0,IT,1524617700,93.0,38.24,16.26,62.6,4.7
26,Vardo,76.0,NO,1524620175,100.0,70.37,31.11,36.66,13.8
27,Dakar,12.0,SN,1524614400,93.0,14.69,-17.45,66.2,6.93
28,Ponta do Sol,80.0,CV,1524620175,100.0,17.2,-25.09,68.97,17.43
29,Puerto Colombia,75.0,CO,1524614400,83.0,10.99,-74.96,80.6,9.17
30,Rikitea,68.0,PF,1524620175,100.0,-23.12,-134.97,79.68,21.56
31,Nizwa,0.0,OM,1524620175,39.0,22.93,57.53,69.33,1.21
32,Vostok,0.0,RU,1524619943,46.0,46.45,135.83,63.21,2.84
33,Tiksi,92.0,RU,1524620176,93.0,71.64,128.87,21.54,17.65
